"BehaviorSpace results (NetLogo 6.2.0)"
"PDv1.0.nlogo"
"experiment 1"
"08/15/2021 14:20:13:919 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","rounds-per-GA-event","cost-of-memory","split-finetune","err-p-magnitude","wildcard-finetune","duplication-finetune","population","win-lose-payout","duplication-p-magnitude","point-finetune","point-p-magnitude","lose-win-payout","error-finetune","split-p-magnitude","update-visuals?","assume-cooperation?","wildcard-p-magnitude","lose-lose-payout","turnover-rate","win-win-payout","[step]","first strategy-count","last strategy-count"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","10","[[1 1] [1 0] [1 0 1 1] [0 0] [1 1 1 1] [1 1 1 0] [0 0 1 1] [1 1 1 0] [1 0 1 1]]","[53 19 10 7 5 2 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","11","[[0 1] [1 0] [1 0 1 0] [0 0 0 1] [0 0] [0 0 0 0] [1 1] [1 1] [0 0 0 1] [0 0 0 1] [0 0 0 1] [0 0 0 0]]","[33 27 16 10 3 3 2 2 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","11","[[1 1] [1 0] [0 0] [0 1] [1 1 1 1] [1 1 1 0] [1 1 1 0] [1 1 1 0] [1 1 0 1] [1 1 0 1]]","[46 22 14 6 5 2 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","12","[[0 0] [0 1] [1 1] [1 0] [0 0 0 0] [1 1 1 1] [1 1 0 1] [1 1 0 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[31 26 17 11 5 3 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","12","[[1 1] [1 0] [0 1] [1 1 1 1] [0 0] [0 0 1 1] [0 0 1 1] [1 1 0 1] [0 0 1 1]]","[39 22 16 14 4 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","13","[[1 0] [0 0] [1 1] [0 0 0 0] [1 0 1 0] [1 1 0 1] [0 0 0 0] [0 0 0 1] [1 1 1 1] [1 1 0 1] [0 0 0 0]]","[30 26 19 9 5 4 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","13","[[1 1] [0 1] [1 1 1 1] [1 0] [0 0] [1 1 0 1] [0 1 0 1] [1 1 0 1] [1 1 0 1]]","[35 21 16 15 8 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","14","[[1 0 1 0] [1 1 1 1] [0 0] [1 0] [1 1 1 1 1 1 1 1] [1 1] [0 1] [0 0 0 1 0 0 0 1] [0 0 0 1 0 0 0 1]]","[32 25 17 13 6 3 2 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","14","[[1 1] [0 0] [1 1 1 1] [0 1] [0 1 0 1] [0 0 1 1] [1 1 1 1 1 1 1 1] [0 0] [0 0]]","[41 17 15 14 6 2 2 2 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","15","[[1 0] [1 1] [1 0 1 0] [1 1 1 1] [0 1] [0 0 0 0] [0 0] [1 1 1 1] [1 1 1 1] [1 1 1 1] [1 1 1 1]]","[27 22 15 13 10 8 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","15","[[1 1 1 0] [0 0 0 0] [1 1 1 1] [1 1] [1 1] [0 0] [0 0 0 0] [0 0 0 0] [0 1] [0 0] [0 0] [0 0] [0 0] [0 0]]","[40 17 13 13 5 2 2 2 1 1 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","16","[[1 1 1 1] [0 0] [1 0] [1 1] [1 0] [1 0 1 0] [0 1 0 1] [0 0 0 1 0 0 0 1] [0 0 0 1 0 0 0 1] [0 0 0 1 0 0 0 1] [0 0 0 1 0 0 0 1] [0 0 0 1 0 0 0 1]]","[31 22 11 10 10 9 2 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","16","[[0 0] [1 1 1 1] [1 1] [1 0] [0 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[47 16 14 12 4 1 1 1 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","17","[[1 0] [1 1 1 0] [1 1 1 1] [1 0] [1 0 1 0] [0 0] [1 1] [1 0 1 0] [1 0 1 0] [1 0 1 0]]","[33 19 13 13 12 6 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","17","[[1 1] [0 1] [1 1 1 1] [1 0] [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1] [1 1 0 1] [0 0] [1 0] [1 0] [1 0]]","[46 16 14 10 8 2 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","18","[[1 1 1 1] [1 0] [0 0] [1 1 1 1 1 1 1 1] [0 0 1 0] [0 1] [1 0 1 0] [1 1 1 1 1 1 1 1] [1 1] [0 1 1 1] [0 1 1 1] [0 1 1 1]]","[31 21 13 10 9 6 3 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","18","[[1 1] [1 1 1 1] [0 0] [1 0] [0 1] [1 1 0 1] [1 1 1 1 1 1 1 1] [1 1 0 1] [1 1 0 1]]","[43 18 14 12 7 3 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","19","[[1 1 1 1] [0 0] [0 1] [1 1] [1 0] [0 1 0 1] [0 1 0 1] [1 1 1 1 1 1 1 1] [1 1 0 1] [1 1 0 1] [1 1 0 1] [1 1 0 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 0 1]]","[30 15 13 12 11 4 4 2 2 2 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","19","[[0 1] [1 1 1 1] [1 1] [1 0 1 0] [1 1 0 1] [1 1 0 1] [0 0] [1 1 0 1 1 1 1 1] [1 1 0 1] [1 1 0 1]]","[42 20 16 7 6 2 2 2 2 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","20","[[1 1] [1 0] [0 1 1 1] [1 1 0 1] [1 1] [1 1 0 0] [1 1 0 0] [0 1] [1 0 1 0] [1 0 1 0] [1 0 1 0] [1 1 0 0] [1 0 1 0] [1 0 1 0]]","[34 14 14 13 8 6 2 2 2 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","20","[[0 1] [1 1 1 1] [1 1] [1 0] [0 0] [1 1 0 1] [0 0 0 0] [0 0 0 0] [0 0 0 0]]","[41 21 13 11 8 3 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","21","[[1 1] [1 1 0 0] [1 1 0 1] [1 1 1 1 1 1 1 1] [1 0 1 0] [0 0] [1 1 1 1] [0 0 1 0] [1 0] [1 0 1 0] [1 1 1 1 1 1 1 1] [0 1] [1 0 1 0]]","[36 14 13 9 8 5 4 3 3 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","21","[[1 1 0 1] [0 1] [0 1] [1 0 1 0] [0 0] [1 1 0 1] [0 0 0 0] [1 1] [1 1 1 0] [1 1 1 0]]","[39 17 17 10 8 3 2 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","22","[[1 1] [1 0] [0 1 1 1] [1 1 1 1] [1 1 0 1] [1 1 0 0] [0 1 1 1] [0 0] [0 1] [0 0] [0 0] [0 0]]","[33 21 16 10 5 4 4 3 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","22","[[1 1] [0 1 0 1] [0 1] [1 1 1 1] [1 1 0 1] [1 0] [1 1 1 0] [1 0 1 0] [1 1 1 0]]","[45 15 13 11 7 4 2 2 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","23","[[0 0 1 1] [1 1 0 1] [1 1 1 0] [1 1] [1 0] [1 1 1 0] [1 1 1 1 1 1 1 1] [1 1 1 0] [1 1 1 1 1 1 1 1] [0 0] [1 1 1 1 1 1 1 1] [0 0 1 1] [1 1 0 0] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[32 21 17 8 5 3 3 2 2 2 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","23","[[1 1] [0 0] [1 1 1 1 1 1 1 1] [1 0] [1 1 1 1] [1 0 1 0] [0 1] [0 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[42 18 13 11 9 2 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","24","[[1 1] [1 0] [0 0 0 0] [1 1 1 1] [1 0 1 0] [1 1] [1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 0 0] [0 0 0 0] [0 0 0 0] [0 0 0 0] [0 0 0 0] [0 1]]","[28 23 20 8 4 4 3 3 2 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","24","[[0 0 0 0] [1 0] [1 1 1 1] [1 1 0 1] [0 0 0 0] [1 1] [1 1 1 0] [1 1 1 0] [1 1 0 1] [0 1] [1 1 1 0]]","[50 14 11 7 7 3 2 2 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","25","[[1 0 1 0] [1 0] [1 1 1 1 1 1 1 1] [1 0 1 0] [1 1 1 1 1 1 1 1] [0 1] [1 1 1 1] [0 0] [1 1 1 1 1 1 1 1] [1 1 1 1] [0 0 0 0] [0 0 0 0] [0 0 0 0]]","[27 20 20 11 4 4 4 3 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","25","[[0 1] [0 1 0 1] [1 1 0 1 1 1 0 1] [1 1 0 1 1 1 0 1] [0 1 1 1] [1 1 1 1] [1 1] [1 1 0 1 1 1 0 1] [0 0 0 0] [1 1 0 1 1 1 0 1] [0 0] [1 1 0 1 1 1 0 1] [1 1 0 1 1 1 0 1]]","[44 13 12 11 7 4 3 1 1 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","26","[[1 1] [1 0] [1 0] [1 1 1 1] [1 0 1 0] [0 1 0 1] [1 0 1 0] [1 1 0 0] [1 0 1 0] [1 1 0 0]]","[33 21 21 10 7 2 2 2 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","26","[[1 1 1 0] [1 0] [1 1 1 1 1 1 1 1] [1 1 1 1] [0 0] [0 1] [1 1] [1 1 1 0] [1 1 1 0] [1 0 1 0] [0 1]]","[46 18 12 10 4 3 2 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","27","[[1 0] [1 1] [1 0 1 0] [0 1] [1 1 1 1 1 1 1 1] [0 1 0 1] [0 0] [1 1 0 0] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[34 23 21 7 4 3 2 1 1 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","27","[[1 1] [1 1 1 1] [1 0] [0 0] [0 1 0 1] [0 1] [1 0 1 0] [1 1 1 0] [1 1 1 0] [1 1 1 0] [1 1 1 1 1 1 1 1]]","[45 18 12 8 5 4 3 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","28","[[1 1] [1 0] [0 0] [0 1] [0 1 0 0] [1 0 1 0] [0 1 1 1] [0 0 1 0 0 0 1 0] [0 1 0 1] [1 0] [0 1 1 1]]","[36 18 15 10 7 5 3 2 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","28","[[0 1] [0 1] [1 0] [1 0 1 0] [1 1 1 1] [1 0 1 1] [1 0 1 1] [1 1 0 0] [1 0 1 0] [1 0 1 0] [1 1 0 0] [1 1 0 0]]","[32 22 22 6 6 3 2 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","29","[[0 1 0 1] [1 1] [1 1 1 1] [0 0] [0 1 0 0] [0 0 1 0 0 0 1 0] [0 1 0 0] [1 0] [0 0 1 0 0 0 1 0] [0 0 1 0 0 0 1 0] [0 1 0 0] [0 1 0 0] [1 1 1 0] [0 0 1 0 0 0 1 0]]","[32 24 12 10 7 3 2 2 2 2 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","29","[[1 1] [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1] [1 1 0 0] [1 0] [0 1] [1 1 0 0] [1 1 1 1] [1 0 1 1] [1 0 1 1] [1 1 0 0] [1 1 0 0] [1 1 0 0]]","[37 22 20 5 4 2 2 2 2 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","30","[[1 1] [0 0] [1 1 1 1] [0 1] [0 1] [1 0 1 1] [1 1 1 1] [1 1 1 1 1 1 1 1] [1 0 1 1] [0 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[37 19 19 10 3 3 2 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","30","[[1 1] [1 0] [0 1] [0 0] [0 1 0 1] [1 0 1 0] [0 1 0 1] [0 0 0 0] [1 0 1 0] [1 0 1 0] [1 0 1 0] [1 0 1 0] [1 0 1 0] [0 0] [1 0 1 0]]","[32 22 13 9 9 4 2 2 1 1 1 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","31","[[1 1] [1 0] [0 1] [1 0 1 1] [0 1 0 1] [1 1 1 1] [1 0 1 1] [1 0 1 0] [1 0 1 0] [1 1 1 1] [1 0 1 1] [1 0 1 0]]","[35 21 19 10 3 3 2 2 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","31","[[1 1] [1 1] [1 1 1 1] [0 1] [1 0] [0 1 0 1] [0 1 0 1] [0 1 0 1] [0 1 0 1] [0 1 0 1] [0 1 0 1]]","[30 26 16 11 11 1 1 1 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","32","[[1 0] [0 1] [1 1 1 1 1 1 1 1] [1 1] [1 0 1 0] [1 1 1 1] [0 1 0 1] [1 0 1 1 1 0 1 1] [1 1] [1 0 1 1 1 0 1 1] [0 0] [1 0 1 1 1 0 1 1] [1 0 1 1 1 0 1 1]]","[29 17 15 14 6 5 4 4 2 1 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","32","[[1 1 1 1] [0 1] [1 0] [0 0] [1 1] [1 1] [0 0] [1 0 1 0] [0 0] [1 0 1 0]]","[32 22 13 13 12 2 2 2 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","33","[[1 1] [1 1 1 1] [1 0] [0 0] [0 1] [0 0 0 0] [1 1 0 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[35 22 16 12 7 3 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","33","[[1 0 1 0] [0 0] [1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1] [1 0 1 1] [1 1 1 1 1 1 1 1] [1 1 1 0 1 1 1 0] [1 1] [1 0 1 1 1 0 1 1] [1 1 1 0 1 1 1 0] [1 1 1 1]]","[29 17 14 14 7 6 3 3 3 2 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","34","[[1 1 0 1 1 1 1 1] [0 1] [1 0] [0 0] [1 1] [1 1 0 1] [0 1] [0 0 0 0] [0 1] [0 0 0 0]]","[35 25 14 13 3 3 3 2 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","34","[[0 1] [1 1 1 1] [0 1] [1 1 0 0] [1 1] [0 1 0 1] [1 0 1 0] [1 0] [1 0 1 1 1 0 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1] [1 1 1 1 1 1 1 1]]","[27 18 15 15 7 6 4 3 2 1 1 1]"
"1","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","true","1","0.3","0.25","0.6","35","[[1 1] [1 1 1 1] [0 0] [0 1] [1 0] [1 1 0 1] [0 0 0 0] [1 0 1 0] [0 0 0 0] [0 0 0 0]]","[37 20 15 13 6 4 2 1 1 1]"
"2","1","0.5","1","1","1","1","100","1","2","2","2","0","1","2","false","false","1","0.3","0.25","0.6","35","[[1 1] [1 1 1 1] [1 0] [0 1] [1 0 1 0] [0 1 0 1] [1 0 1 1] [0 0 0 1] [1 0 1 1 1 0 1 1] [0 0 0 1] [0 0 0 1] [1 0 1 1]]","[31 17 15 12 8 6 4 2 2 1 1 1]"
